ligne,colonne,type
0,107,PLAGE
0,111,PLAGE
0,112,PLAGE
0,113,PLAGE
0,114,PLAGE
0,115,PLAGE
0,116,PLAGE
0,117,PLAGE
0,118,PLAGE
0,119,PLAGE
0,120,PLAGE
0,121,PLAGE
0,122,PLAGE
0,123,PLAGE
0,124,PLAGE
0,125,PLAGE
0,126,PLAGE
0,127,PLAGE
0,128,PLAGE
0,129,PLAGE
0,130,PLAGE
0,131,PLAGE
0,132,PLAGE
0,133,PLAGE
0,134,PLAGE
1,4,PLAGE
1,5,PLAGE
1,6,PLAGE
1,111,PLAGE
1,112,HERBE
1,113,HERBE
1,114,HERBE
1,115,HERBE
1,116,HERBE
1,117,HERBE
1,118,HERBE
1,119,HERBE
1,120,HERBE
1,121,HERBE
1,122,HERBE
1,123,HERBE
1,124,HERBE
1,125,HERBE
1,126,PLAGE
1,127,PLAGE
1,128,PLAGE
1,129,PLAGE
1,130,PLAGE
1,131,PLAGE
1,132,PLAGE
1,133,PLAGE
1,134,PLAGE
2,2,PLAGE
2,3,PLAGE
2,4,MONTAGNE
2,5,MONTAGNE
2,6,MONTAGNE
2,7,PLAGE
2,12,PLAGE
2,13,PLAGE
2,17,PLAGE
2,22,PLAGE
2,23,HERBE
2,24,HERBE
2,25,HERBE
2,108,PLAGE
2,109,PLAGE
2,110,PLAGE
2,111,HERBE
2,112,HERBE
2,113,HERBE
2,114,HERBE
2,115,HERBE
2,116,HERBE
2,117,HERBE
2,118,HERBE
2,119,HERBE
2,120,HERBE
2,121,HERBE
2,122,HERBE
2,123,HERBE
2,124,HERBE
2,125,HERBE
2,126,HERBE
2,127,HERBE
2,128,HERBE
2,129,HERBE
2,130,HERBE
2,131,HERBE
2,132,HERBE
2,133,PLAGE
2,134,PLAGE
3,1,HERBE
3,2,MONTAGNE
3,3,MONTAGNE
3,4,MONTAGNE
3,5,MONTAGNE
3,6,MONTAGNE
3,7,PLAGE
3,11,PLAGE
3,12,ARBRE
3,13,HERBE
3,14,PLAGE
3,15,PLAGE
3,16,PLAGE
3,17,HERBE
3,18,PLAGE
3,19,PLAGE
3,20,PLAGE
3,21,PLAGE
3,22,HERBE
3,23,HERBE
3,24,HERBE
3,25,HERBE
3,26,HERBE
3,105,PLAGE
3,106,PLAGE
3,107,PLAGE
3,108,HERBE
3,109,HERBE
3,110,HERBE
3,111,HERBE
3,112,HERBE
3,113,HERBE
3,114,HERBE
3,115,HERBE
3,116,HERBE
3,117,HERBE
3,118,HERBE
3,119,HERBE
3,120,HERBE
3,121,HERBE
3,122,HERBE
3,123,HERBE
3,124,HERBE
3,125,HERBE
3,126,HERBE
3,127,HERBE
3,128,HERBE
3,129,HERBE
3,130,HERBE
3,131,HERBE
3,132,HERBE
3,133,PLAGE
3,134,PLAGE
4,1,HERBE
4,2,PLAGE
4,3,PLAGE
4,4,MONTAGNE
4,5,MONTAGNE
4,6,MONTAGNE
4,7,MONTAGNE
4,8,PLAGE
4,9,PLAGE
4,10,PLAGE
4,11,ARBRE
4,12,HERBE
4,13,HERBE
4,14,ARBRE
4,15,HERBE
4,16,HERBE
4,17,ARBRE
4,18,HERBE
4,19,HERBE
4,20,HERBE
4,21,HERBE
4,22,HERBE
4,23,HERBE
4,24,HERBE
4,25,HERBE
4,26,HERBE
4,27,HERBE
4,28,HERBE
4,29,HERBE
4,107,PLAGE
4,108,HERBE
4,109,HERBE
4,110,HERBE
4,111,HERBE
4,112,HERBE
4,113,HERBE
4,114,HERBE
4,115,HERBE
4,116,HERBE
4,117,HERBE
4,118,HERBE
4,119,HERBE
4,120,HERBE
4,121,HERBE
4,122,HERBE
4,123,HERBE
4,124,HERBE
4,125,HERBE
4,126,HERBE
4,127,HERBE
4,128,HERBE
4,129,HERBE
4,130,HERBE
4,131,HERBE
4,132,HERBE
4,133,PLAGE
4,134,PLAGE
5,4,PLAGE
5,5,MONTAGNE
5,6,MONTAGNE
5,7,MONTAGNE
5,8,MONTAGNE
5,9,HERBE
5,10,ARBRE
5,11,HERBE
5,12,HERBE
5,13,ARBRE
5,14,HERBE
5,15,HERBE
5,16,ARBRE
5,17,HERBE
5,18,HERBE
5,19,HERBE
5,20,HERBE
5,21,HERBE
5,22,HERBE
5,23,HERBE
5,24,HERBE
5,25,HERBE
5,26,HERBE
5,27,HERBE
5,28,HERBE
5,29,HERBE
5,105,PLAGE
5,106,PLAGE
5,107,HERBE
5,108,HERBE
5,109,HERBE
5,110,HERBE
5,111,HERBE
5,112,HERBE
5,113,HERBE
5,114,HERBE
5,115,HERBE
5,116,HERBE
5,117,HERBE
5,118,HERBE
5,119,HERBE
5,120,HERBE
5,121,HERBE
5,122,HERBE
5,123,HERBE
5,124,HERBE
5,125,HERBE
5,126,HERBE
5,127,HERBE
5,128,HERBE
5,129,HERBE
5,130,HERBE
5,131,HERBE
5,132,HERBE
5,133,PLAGE
5,134,PLAGE
6,3,PLAGE
6,4,MONTAGNE
6,5,MONTAGNE
6,6,MONTAGNE
6,7,MONTAGNE
6,8,MONTAGNE
6,9,ARBRE
6,10,HERBE
6,11,HERBE
6,12,ARBRE
6,13,HERBE
6,14,HERBE
6,15,ARBRE
6,16,HERBE
6,17,HERBE
