ligne,colonne,type
0,21,PLAGE
0,22,HERBE
0,23,HERBE
0,24,HERBE
0,25,HERBE
0,26,HERBE
0,27,HERBE
0,28,HERBE
0,29,HERBE
0,30,HERBE
0,31,HERBE
0,32,HERBE
0,33,HERBE
0,34,HERBE
0,35,HERBE
0,36,HERBE
0,37,HERBE
0,38,HERBE
0,39,HERBE
0,40,HERBE
0,41,HERBE
0,42,HERBE
0,43,HERBE
0,44,HERBE
0,45,PLAGE
0,53,PLAGE
0,54,HERBE
0,55,HERBE
0,56,HERBE
0,57,HERBE
0,58,HERBE
0,59,HERBE
0,60,HERBE
0,61,HERBE
0,62,HERBE
0,63,HERBE
0,64,PLAGE
1,19,MONTAGNE
1,20,MONTAGNE
1,21,MONTAGNE
1,22,MONTAGNE
1,23,MONTAGNE
1,24,MONTAGNE
1,25,MONTAGNE
1,26,MONTAGNE
1,27,MONTAGNE
1,28,HERBE
1,29,HERBE
1,30,ARBRE
1,31,HERBE
1,32,ARBRE
1,33,HERBE
1,34,ARBRE
1,35,HERBE
1,36,ARBRE
1,37,HERBE
1,38,ARBRE
1,39,HERBE
1,40,HERBE
1,41,HERBE
1,42,HERBE
1,43,HERBE
1,44,HERBE
1,45,HERBE
1,52,PLAGE
1,53,HERBE
1,54,HERBE
1,55,HERBE
1,56,ARBRE
1,57,HERBE
1,58,HERBE
1,59,ARBRE
1,60,HERBE
1,61,HERBE
1,62,ARBRE
1,63,HERBE
1,64,HERBE
1,65,PLAGE
1,66,HERBE
2,16,MONTAGNE
2,17,MONTAGNE
2,18,MONTAGNE
2,19,MONTAGNE
2,20,MONTAGNE
2,21,MONTAGNE
2,22,MONTAGNE
2,23,MONTAGNE
2,24,MONTAGNE
2,25,HERBE
2,26,HERBE
2,27,ARBRE
2,28,HERBE
2,29,ARBRE
2,30,HERBE
2,31,ARBRE
2,32,HERBE
2,33,ARBRE
2,34,HERBE
2,35,ARBRE
2,36,HERBE
2,37,HERBE
2,38,HERBE
2,39,HERBE
2,40,HERBE
2,41,HERBE
2,42,HERBE
2,43,HERBE
2,44,PLAGE
2,45,PLAGE
2,51,PLAGE
2,52,HERBE
2,53,HERBE
2,54,HERBE
2,55,ARBRE
2,56,HERBE
2,57,HERBE
2,58,ARBRE
2,59,HERBE
2,60,HERBE
2,61,ARBRE
2,62,HERBE
2,63,HERBE
2,64,ARBRE
2,65,HERBE
2,66,HERBE
3,13,MONTAGNE
3,14,MONTAGNE
3,15,MONTAGNE
3,16,MONTAGNE
3,17,MONTAGNE
3,18,MONTAGNE
3,19,MONTAGNE
3,20,MONTAGNE
3,21,MONTAGNE
3,22,HERBE
3,23,HERBE
3,24,ARBRE
3,25,HERBE
3,26,ARBRE
3,27,HERBE
3,28,ARBRE
3,29,HERBE
3,30,ARBRE
3,31,HERBE
3,32,ARBRE
3,33,HERBE
3,34,HERBE
3,35,HERBE
3,36,HERBE
3,37,HERBE
3,38,HERBE
3,39,HERBE
3,40,HERBE
3,41,HERBE
3,42,HERBE
3,43,PLAGE
3,50,PLAGE
3,51,HERBE
3,52,HERBE
3,53,HERBE
3,54,ARBRE
3,55,HERBE
3,56,HERBE
3,57,ARBRE
3,58,HERBE
3,59,HERBE
3,60,ARBRE
3,61,HERBE
3,62,HERBE
3,63,ARBRE
3,64,HERBE
3,65,HERBE
3,66,ARBRE
4,9,MONTAGNE
4,10,MONTAGNE
4,11,MONTAGNE
4,12,MONTAGNE
4,13,MONTAGNE
4,14,MONTAGNE
4,15,MONTAGNE
4,16,MONTAGNE
4,17,MONTAGNE
4,18,HERBE
4,19,ARBRE
4,20,HERBE
4,21,ARBRE
4,22,HERBE
4,23,ARBRE
4,24,HERBE
4,25,ARBRE
4,26,HERBE
4,27,ARBRE
4,28,HERBE
4,29,ARBRE
4,30,HERBE
4,31,HERBE
4,32,HERBE
4,33,HERBE
4,34,HERBE
4,35,HERBE
4,36,HERBE
4,37,HERBE
4,38,HERBE
4,39,HERBE
4,40,HERBE
4,41,PLAGE
4,42,PLAGE
4,47,PLAGE
4,48,PLAGE
4,49,PLAGE
4,50,HERBE
4,51,HERBE
4,52,HERBE
4,53,HERBE
4,54,HERBE
4,55,HERBE
4,56,ARBRE
4,57,HERBE
4,58,HERBE
4,59,ARBRE
4,60,HERBE
4,61,HERBE
4,62,ARBRE
4,63,HERBE
4,64,HERBE
