ligne,colonne,type
0,0,HERBE
0,1,HERBE
0,2,HERBE
0,3,HERBE
0,4,HERBE
0,5,HERBE
0,6,HERBE
0,7,HERBE
0,8,HERBE
0,9,HERBE
0,10,HERBE
0,11,HERBE
0,12,HERBE
0,13,HERBE
0,14,HERBE
0,15,HERBE
0,16,HERBE
0,17,HERBE
0,18,HERBE
0,19,HERBE
0,20,HERBE
0,28,HERBE
0,29,HERBE
0,30,HERBE
0,31,HERBE
1,0,HERBE
1,1,MONTAGNE
1,2,HERBE
1,3,HERBE
1,4,MONTAGNE
1,5,HERBE
1,6,HERBE
1,7,MONTAGNE
1,8,HERBE
1,9,HERBE
1,10,MONTAGNE
1,11,HERBE
1,12,HERBE
1,13,HERBE
1,14,HERBE
1,15,HERBE
1,16,HERBE
1,17,PLAGE
1,18,PLAGE
1,27,PLAGE
1,28,HERBE
1,29,HERBE
1,30,HERBE
1,31,HERBE
1,32,PLAGE
2,0,HERBE
2,1,HERBE
2,2,MONTAGNE
2,3,HERBE
2,4,HERBE
2,5,MONTAGNE
2,6,HERBE
2,7,HERBE
2,8,MONTAGNE
2,9,HERBE
2,10,HERBE
2,11,MONTAGNE
2,12,HERBE
2,13,HERBE
2,14,HERBE
2,15,HERBE
2,16,PLAGE
2,27,PLAGE
2,28,HERBE
2,29,HERBE
2,30,HERBE
2,31,HERBE
2,32,HERBE
2,33,PLAGE
3,0,HERBE
3,1,HERBE
3,2,HERBE
3,3,MONTAGNE
3,4,HERBE
3,5,HERBE
3,6,MONTAGNE
3,7,HERBE
3,8,HERBE
3,9,MONTAGNE
3,10,HERBE
3,11,HERBE
3,12,MONTAGNE
3,13,HERBE
3,14,HERBE
3,15,PLAGE
3,26,PLAGE
3,27,HERBE
3,28,HERBE
3,29,HERBE
3,30,HERBE
3,31,HERBE
3,32,HERBE
3,33,HERBE
3,34,PLAGE
4,0,HERBE
4,1,MONTAGNE
4,2,HERBE
4,3,HERBE
4,4,MONTAGNE
4,5,HERBE
4,6,HERBE
4,7,MONTAGNE
4,8,HERBE
4,9,HERBE
4,10,MONTAGNE
4,11,HERBE
4,12,HERBE
4,13,HERBE
