ligne,colonne,type
11,25,TERRE
11,27,TERRE
11,28,TERRE
11,30,TERRE
11,37,TERRE
11,38,TERRE
11,39,TERRE
11,40,TERRE
11,41,TERRE
11,42,TERRE
12,23,TERRE
12,25,TERRE
12,26,TERRE
12,28,TERRE
12,29,TERRE
12,30,TERRE
12,33,TERRE
12,37,TERRE
12,39,TERRE
12,40,TERRE
12,41,TERRE
12,42,TERRE
12,43,TERRE
13,21,TERRE
13,22,TERRE
13,24,TERRE
13,25,TERRE
13,27,TERRE
13,29,TERRE
13,30,TERRE
13,31,TERRE
13,32,TERRE
13,34,TERRE
13,36,TERRE
13,37,TERRE
13,39,TERRE
13,41,TERRE
13,42,TERRE
13,43,TERRE
13,46,TERRE
14,20,TERRE
14,22,TERRE
14,23,TERRE
14,25,TERRE
14,26,TERRE
14,27,TERRE
14,30,TERRE
14,31,TERRE
14,32,TERRE
14,33,TERRE
14,36,TERRE
14,37,TERRE
14,38,TERRE
14,39,TERRE
14,42,TERRE
14,43,TERRE
14,45,TERRE
14,46,TERRE
15,21,TERRE
15,22,TERRE
15,24,TERRE
15,26,TERRE
15,27,TERRE
15,28,TERRE
15,29,TERRE
15,31,TERRE
15,32,TERRE
15,33,TERRE
15,34,TERRE
15,36,TERRE
15,38,TERRE
15,43,TERRE
15,45,TERRE
15,46,TERRE
16,20,TERRE
16,22,TERRE
16,23,TERRE
16,24,TERRE
16,27,TERRE
16,28,TERRE
16,29,TERRE
16,30,TERRE
16,33,TERRE
16,34,TERRE
16,35,TERRE
16,37,TERRE
16,38,TERRE
16,44,TERRE
17,21,TERRE
17,23,TERRE
17,24,TERRE
17,25,TERRE
17,26,TERRE
17,28,TERRE
17,29,TERRE
17,30,TERRE
17,31,TERRE
17,33,TERRE
17,35,TERRE
17,36,TERRE
17,38,TERRE
18,21,TERRE
18,24,TERRE
18,25,TERRE
18,26,TERRE
18,27,TERRE
18,30,TERRE
18,31,TERRE
18,32,TERRE
18,34,TERRE
18,35,TERRE
18,37,TERRE
18,39,TERRE
19,22,TERRE
19,23,TERRE
19,25,TERRE
19,26,TERRE
19,27,TERRE
19,28,TERRE
19,30,TERRE
19,32,TERRE
19,33,TERRE
19,35,TERRE
19,36,TERRE
19,37,TERRE
19,40,TERRE
19,43,TERRE
20,24,TERRE
20,27,TERRE
20,28,TERRE
20,29,TERRE
20,31,TERRE
20,32,TERRE
20,34,TERRE
20,36,TERRE
20,37,TERRE
20,38,TERRE
20,39,TERRE
20,41,TERRE
20,42,TERRE
20,43,TERRE
20,44,TERRE
21,26,TERRE
21,27,TERRE
21,29,TERRE
21,30,TERRE
21,32,TERRE
21,33,TERRE
21,34,TERRE
21,37,TERRE
21,38,TERRE
21,39,TERRE
21,40,TERRE
21,42,TERRE
22,29,TERRE
22,31,TERRE
22,33,TERRE
22,34,TERRE
22,35,TERRE
22,36,TERRE
22,38,TERRE
22,39,TERRE
23,32,TERRE
23,34,TERRE
23,35,TERRE
23,36,TERRE
10,25,PLAGE
10,26,PLAGE
10,27,PLAGE
10,28,PLAGE
10,29,PLAGE
10,30,PLAGE
11,23,PLAGE
11,24,PLAGE
11,31,PLAGE
11,32,PLAGE
11,33,PLAGE
12,21,PLAGE
12,22,PLAGE
12,34,PLAGE
12,36,PLAGE
13,20,PLAGE
13,35,PLAGE
13,44,PLAGE
13,45,PLAGE
14,19,PLAGE
14,40,PLAGE
14,41,PLAGE
15,19,PLAGE
15,39,PLAGE
15,42,PLAGE
16,19,PLAGE
16,39,PLAGE
16,43,PLAGE
16,45,PLAGE
17,20,PLAGE
17,39,PLAGE
17,43,PLAGE
17,44,PLAGE
18,20,PLAGE
18,40,PLAGE
18,43,PLAGE
19,21,PLAGE
19,41,PLAGE
19,42,PLAGE
19,44,PLAGE
20,22,PLAGE
20,23,PLAGE
20,45,PLAGE
21,24,PLAGE
21,25,PLAGE
21,43,PLAGE
21,44,PLAGE
22,26,PLAGE
22,27,PLAGE
22,28,PLAGE
22,40,PLAGE
22,41,PLAGE
22,42,PLAGE
23,29,PLAGE
23,30,PLAGE
23,31,PLAGE
23,37,PLAGE
23,38,PLAGE
23,39,PLAGE
24,32,PLAGE
24,33,PLAGE
24,34,PLAGE
24,35,PLAGE
24,36,PLAGE
15,40,EAU
15,41,EAU
16,40,EAU
16,41,EAU
16,42,EAU
17,40,EAU
17,41,EAU
17,42,EAU
18,41,EAU
18,42,EAU
11,26,ARBRE
11,29,ARBRE
12,24,ARBRE
12,27,ARBRE
12,31,ARBRE
12,32,ARBRE
12,38,ARBRE
13,23,ARBRE
13,26,ARBRE
13,28,ARBRE
13,33,ARBRE
13,38,ARBRE
13,40,ARBRE
14,21,ARBRE
14,24,ARBRE
14,28,ARBRE
14,29,ARBRE
14,34,ARBRE
14,35,ARBRE
14,44,ARBRE
15,20,ARBRE
15,23,ARBRE
15,25,ARBRE
15,30,ARBRE
15,35,ARBRE
15,37,ARBRE
15,44,ARBRE
16,21,ARBRE
16,25,ARBRE
16,26,ARBRE
16,31,ARBRE
16,32,ARBRE
16,36,ARBRE
17,22,ARBRE
17,27,ARBRE
17,32,ARBRE
17,34,ARBRE
17,37,ARBRE
18,22,ARBRE
18,23,ARBRE
18,28,ARBRE
18,29,ARBRE
18,33,ARBRE
18,36,ARBRE
18,38,ARBRE
19,24,ARBRE
19,29,ARBRE
19,31,ARBRE
19,34,ARBRE
19,38,ARBRE
19,39,ARBRE
20,25,ARBRE
20,26,ARBRE
20,30,ARBRE
20,33,ARBRE
20,35,ARBRE
20,40,ARBRE
21,28,ARBRE
21,31,ARBRE
21,35,ARBRE
21,36,ARBRE
21,41,ARBRE
22,30,ARBRE
22,32,ARBRE
22,37,ARBRE
23,33,ARBRE
