ligne,colonne,type
2,12,PLAGE
2,13,PLAGE
2,14,PLAGE
2,15,PLAGE
2,16,PLAGE
2,17,PLAGE
2,18,PLAGE
2,19,PLAGE
2,20,PLAGE
2,21,PLAGE
2,22,PLAGE
2,23,PLAGE
2,24,PLAGE
2,25,PLAGE
2,26,PLAGE
2,27,PLAGE
2,28,PLAGE
2,29,PLAGE
2,30,PLAGE
2,31,PLAGE
2,32,PLAGE
2,33,PLAGE
2,34,PLAGE
2,35,PLAGE
2,36,PLAGE
2,37,PLAGE
2,38,PLAGE
2,39,PLAGE
2,40,PLAGE
2,41,PLAGE
2,42,PLAGE
2,43,PLAGE
2,44,PLAGE
2,45,PLAGE
2,46,PLAGE
2,47,PLAGE
2,48,PLAGE
3,11,PLAGE
3,12,PLAGE
3,13,PLAGE
3,14,PLAGE
3,15,PLAGE
3,16,PLAGE
3,17,PLAGE
3,18,PLAGE
3,19,PLAGE
3,20,PLAGE
3,21,PLAGE
3,22,PLAGE
3,23,PLAGE
3,24,PLAGE
3,25,PLAGE
3,26,PLAGE
3,27,PLAGE
3,28,PLAGE
3,29,PLAGE
3,30,PLAGE
3,31,PLAGE
3,32,PLAGE
3,33,PLAGE
3,34,PLAGE
3,35,PLAGE
3,36,PLAGE
3,37,PLAGE
3,38,PLAGE
3,39,PLAGE
3,40,PLAGE
3,41,PLAGE
3,42,PLAGE
3,43,PLAGE
3,44,PLAGE
3,45,PLAGE
3,46,PLAGE
3,47,PLAGE
3,48,PLAGE
4,10,PLAGE
4,11,PLAGE
4,12,PLAGE
4,13,ARBRE
4,14,ARBRE
4,15,ARBRE
4,16,ARBRE
4,17,ARBRE
4,18,ARBRE
4,19,ARBRE
4,20,ARBRE
4,21,ARBRE
4,22,ARBRE
4,23,ARBRE
4,24,ARBRE
4,25,ARBRE
4,26,ARBRE
4,27,ARBRE
4,28,ARBRE
4,29,ARBRE
4,30,ARBRE
4,31,ARBRE
4,32,ARBRE
4,33,ARBRE
4,34,ARBRE
4,35,ARBRE
4,36,ARBRE
4,37,ARBRE
4,38,ARBRE
4,39,ARBRE
4,40,ARBRE
4,41,ARBRE
4,42,ARBRE
4,43,ARBRE
4,44,ARBRE
4,45,ARBRE
4,46,ARBRE
4,47,PLAGE
4,48,PLAGE
5,9,PLAGE
5,10,PLAGE
5,11,PLAGE
5,12,ARBRE
5,13,ARBRE
5,14,ARBRE
5,15,ARBRE
5,16,ARBRE
5,17,ARBRE
5,18,ARBRE
5,19,ARBRE
5,20,ARBRE
5,21,ARBRE
5,22,ARBRE
5,23,ARBRE
5,24,ARBRE
5,25,ARBRE
5,26,ARBRE
5,27,ARBRE
5,28,ARBRE
5,29,ARBRE
5,30,ARBRE
5,31,ARBRE
5,32,ARBRE
5,33,ARBRE
5,34,ARBRE
5,35,ARBRE
