ligne,colonne,type
0,0,PLAGE
0,1,PLAGE
0,2,PLAGE
0,3,PLAGE
0,4,PLAGE
0,5,PLAGE
0,6,PLAGE
0,7,PLAGE
1,0,PLAGE
1,1,PLAGE
1,2,PLAGE
1,3,PLAGE
1,4,PLAGE
1,5,PLAGE
1,6,PLAGE
1,7,PLAGE
1,8,PLAGE
1,9,PLAGE
1,10,PLAGE
1,11,PLAGE
1,12,PLAGE
1,13,PLAGE
1,14,PLAGE
1,15,PLAGE
1,16,PLAGE
1,17,PLAGE
1,18,PLAGE
1,19,PLAGE
1,20,PLAGE
2,0,PLAGE
2,1,PLAGE
2,2,ARBRE
2,3,ARBRE
2,4,ARBRE
2,5,ARBRE
2,6,ARBRE
2,7,ARBRE
2,8,ARBRE
2,9,ARBRE
2,10,ARBRE
2,11,PLAGE
2,12,PLAGE
2,13,PLAGE
2,14,PLAGE
2,15,PLAGE
2,16,PLAGE
2,17,PLAGE
2,18,PLAGE
2,19,PLAGE
2,20,PLAGE
2,21,PLAGE
2,22,PLAGE
2,23,PLAGE
2,24,PLAGE
2,25,PLAGE
2,26,PLAGE
2,27,PLAGE
3,0,PLAGE
3,1,PLAGE
3,2,ARBRE
3,3,ARBRE
3,4,ARBRE
3,5,ARBRE
3,6,ARBRE
3,7,ARBRE
3,8,ARBRE
3,9,ARBRE
3,10,ARBRE
3,11,ARBRE
3,12,ARBRE
3,13,ARBRE
3,14,ARBRE
3,15,ARBRE
3,16,ARBRE
3,17,ARBRE
3,18,ARBRE
3,19,ARBRE
3,20,ARBRE
3,21,ARBRE
3,22,PLAGE
3,23,PLAGE
3,24,PLAGE
3,25,PLAGE
3,26,PLAGE
3,27,PLAGE
3,28,PLAGE
3,29,PLAGE
3,30,PLAGE
3,31,PLAGE
3,32,PLAGE
3,33,PLAGE
3,34,PLAGE
3,35,PLAGE
4,0,PLAGE
4,1,PLAGE
4,2,ARBRE
4,3,ARBRE
4,4,ARBRE
4,5,ARBRE
4,6,ARBRE
4,7,ARBRE
4,8,ARBRE
4,9,ARBRE
4,10,ARBRE
4,11,ARBRE
4,12,ARBRE
4,13,ARBRE
4,14,ARBRE
4,15,ARBRE
4,16,ARBRE
4,17,ARBRE
4,18,ARBRE
4,19,ARBRE
4,20,ARBRE
4,21,ARBRE
4,22,ARBRE
4,23,ARBRE
4,24,ARBRE
4,25,ARBRE
4,26,ARBRE
4,27,ARBRE
4,28,ARBRE
4,29,ARBRE
4,30,PLAGE
4,31,PLAGE
4,32,PLAGE
4,33,PLAGE
4,34,PLAGE
4,35,PLAGE
4,36,PLAGE
4,37,PLAGE
4,38,PLAGE
4,39,PLAGE
5,0,PLAGE
5,1,PLAGE
5,2,ARBRE
5,3,ARBRE
5,4,ARBRE
5,5,TERRE
5,6,TERRE
5,7,TERRE
5,8,TERRE
5,9,TERRE
5,10,TERRE
5,11,TERRE
5,12,TERRE
5,13,TERRE
5,14,TERRE
5,15,ARBRE
5,16,ARBRE
5,17,ARBRE
5,18,ARBRE
5,19,ARBRE
5,20,ARBRE
5,21,ARBRE
5,22,ARBRE
5,23,ARBRE
5,24,ARBRE
5,25,ARBRE
5,26,ARBRE
5,27,ARBRE
5,28,ARBRE
5,29,ARBRE
5,30,ARBRE
5,31,ARBRE
5,32,ARBRE
5,33,ARBRE
5,34,ARBRE
5,35,ARBRE
5,36,ARBRE
5,37,PLAGE
5,38,PLAGE
5,39,PLAGE
5,40,PLAGE
5,41,PLAGE
5,42,PLAGE
5,43,PLAGE
6,0,PLAGE
6,1,PLAGE
6,2,ARBRE
6,3,ARBRE
6,4,ARBRE
6,5,TERRE
6,6,TERRE
6,7,TERRE
6,8,TERRE
6,9,TERRE
6,10,TERRE
6,11,TERRE
6,12,TERRE
6,13,TERRE
6,14,TERRE
6,15,TERRE
6,16,TERRE
6,17,TERRE
6,18,TERRE
6,19,TERRE
6,20,TERRE
6,21,TERRE
6,22,TERRE
6,23,TERRE
6,24,ARBRE
6,25,ARBRE
6,26,ARBRE
6,27,ARBRE
6,28,ARBRE
6,29,ARBRE
6,30,ARBRE
6,31,ARBRE
6,32,ARBRE
6,33,ARBRE
6,34,ARBRE
6,35,ARBRE
6,36,ARBRE
6,37,ARBRE
6,38,ARBRE
6,39,ARBRE
6,40,ARBRE
6,41,PLAGE
6,42,PLAGE
6,43,PLAGE
6,44,PLAGE
6,45,PLAGE
6,46,PLAGE
6,47,PLAGE
7,0,PLAGE
7,1,PLAGE
7,2,ARBRE
