ligne,colonne,type
1,28,PLAGE
1,32,PLAGE
2,26,PLAGE
2,27,PLAGE
2,28,MONTAGNE
2,29,PLAGE
2,30,PLAGE
2,31,PLAGE
2,32,HERBE
2,33,PLAGE
3,25,PLAGE
3,26,MONTAGNE
3,27,HERBE
3,28,MONTAGNE
3,29,MONTAGNE
3,30,HERBE
3,31,MONTAGNE
3,32,MONTAGNE
3,33,HERBE
3,34,PLAGE
4,25,PLAGE
4,26,MONTAGNE
4,27,MONTAGNE
4,28,HERBE
4,29,MONTAGNE
4,30,MONTAGNE
4,31,HERBE
4,32,MONTAGNE
4,33,PLAGE
5,25,PLAGE
5,26,HERBE
5,27,MONTAGNE
5,28,MONTAGNE
5,29,HERBE
5,30,MONTAGNE
5,31,MONTAGNE
5,32,PLAGE
6,4,PLAGE
6,26,PLAGE
6,27,HERBE
6,28,MONTAGNE
6,29,MONTAGNE
6,30,HERBE
6,31,MONTAGNE
6,32,PLAGE
7,2,PLAGE
7,3,PLAGE
7,4,HERBE
7,5,PLAGE
7,6,PLAGE
7,27,PLAGE
7,28,HERBE
7,29,MONTAGNE
7,30,MONTAGNE
7,31,HERBE
7,32,MONTAGNE
7,33,PLAGE
8,1,PLAGE
8,2,HERBE
8,3,HERBE
8,4,HERBE
8,5,HERBE
8,6,HERBE
8,7,PLAGE
8,26,PLAGE
8,27,MONTAGNE
8,28,MONTAGNE
8,29,HERBE
8,30,MONTAGNE
8,31,MONTAGNE
8,32,HERBE
8,33,MONTAGNE
8,34,PLAGE
9,0,HERBE
9,1,HERBE
9,2,HERBE
9,3,HERBE
9,4,HERBE
9,5,HERBE
9,6,HERBE
9,7,HERBE
9,8,PLAGE
9,26,PLAGE
9,27,ARBRE
9,28,MONTAGNE
9,29,MONTAGNE
9,30,ARBRE
9,31,MONTAGNE
9,32,MONTAGNE
9,33,HERBE
9,34,PLAGE
10,0,HERBE
10,1,HERBE
10,2,HERBE
10,3,HERBE
10,4,MONTAGNE
10,5,HERBE
10,6,HERBE
10,7,HERBE
10,8,PLAGE
10,26,PLAGE
10,27,MONTAGNE
10,28,HERBE
10,29,MONTAGNE
10,30,MONTAGNE
10,31,HERBE
10,32,MONTAGNE
10,33,MONTAGNE
10,34,PLAGE
11,0,HERBE
11,1,HERBE
11,2,HERBE
11,3,MONTAGNE
11,4,MONTAGNE
11,5,MONTAGNE
11,6,HERBE
11,7,HERBE
11,8,PLAGE
11,27,PLAGE
11,28,MONTAGNE
11,29,HERBE
11,30,MONTAGNE
11,31,MONTAGNE
11,32,HERBE
11,33,MONTAGNE
11,34,PLAGE
12,0,HERBE
12,1,HERBE
12,2,MONTAGNE
12,3,MONTAGNE
12,4,MONTAGNE
12,5,MONTAGNE
12,6,MONTAGNE
12,7,PLAGE
