ligne,colonne,type
8,10,PLAGE
8,11,PLAGE
8,12,PLAGE
8,13,PLAGE
8,14,PLAGE
8,21,PLAGE
8,22,PLAGE
8,23,PLAGE
9,9,PLAGE
9,10,HERBE
9,11,HERBE
9,12,HERBE
9,13,HERBE
9,14,HERBE
9,15,PLAGE
9,20,PLAGE
9,21,HERBE
9,22,HERBE
9,23,HERBE
9,24,PLAGE
9,25,PLAGE
9,26,PLAGE
9,27,PLAGE
9,28,PLAGE
9,29,PLAGE
9,30,PLAGE
9,31,PLAGE
9,32,PLAGE
9,33,PLAGE
9,34,PLAGE
9,35,PLAGE
9,36,PLAGE
9,37,PLAGE
10,9,PLAGE
10,10,HERBE
10,11,HERBE
10,12,HERBE
10,13,HERBE
10,14,HERBE
10,15,PLAGE
10,18,PLAGE
10,19,PLAGE
10,20,HERBE
10,21,HERBE
10,22,HERBE
10,23,HERBE
10,24,HERBE
10,25,HERBE
10,26,HERBE
10,27,HERBE
10,28,HERBE
10,29,HERBE
10,30,HERBE
10,31,HERBE
10,32,HERBE
10,33,HERBE
10,34,HERBE
10,35,HERBE
10,36,HERBE
10,37,HERBE
10,38,PLAGE
10,39,PLAGE
10,40,PLAGE
10,41,PLAGE
10,42,PLAGE
11,8,PLAGE
11,9,HERBE
11,10,HERBE
11,11,HERBE
11,12,HERBE
11,13,HERBE
11,14,HERBE
11,15,HERBE
11,16,PLAGE
11,17,PLAGE
11,18,HERBE
11,19,HERBE
11,20,HERBE
11,21,HERBE
11,22,HERBE
11,23,HERBE
11,24,HERBE
11,25,HERBE
11,26,HERBE
11,27,HERBE
11,28,HERBE
11,29,HERBE
11,30,HERBE
11,31,HERBE
11,32,HERBE
11,33,HERBE
11,34,HERBE
11,35,HERBE
11,36,HERBE
11,37,HERBE
11,38,HERBE
11,39,HERBE
11,40,HERBE
11,41,HERBE
11,42,HERBE
11,43,PLAGE
11,44,PLAGE
11,45,PLAGE
12,9,PLAGE
12,10,HERBE
12,11,HERBE
12,12,ARBRE
12,13,HERBE
12,14,HERBE
12,15,ARBRE
12,16,HERBE
12,17,HERBE
12,18,ARBRE
12,19,HERBE
12,20,HERBE
12,21,HERBE
12,22,HERBE
12,23,HERBE
12,24,HERBE
12,25,HERBE
12,26,HERBE
12,27,HERBE
12,28,HERBE
12,29,HERBE
12,30,HERBE
12,31,HERBE
12,32,HERBE
12,33,HERBE
12,34,HERBE
12,35,HERBE
12,36,HERBE
12,37,HERBE
12,38,HERBE
12,39,HERBE
12,40,HERBE
12,41,HERBE
12,42,HERBE
12,43,HERBE
12,44,HERBE
12,45,HERBE
12,46,PLAGE
12,47,PLAGE
13,5,PLAGE
13,6,PLAGE
13,7,PLAGE
13,8,PLAGE
13,9,HERBE
13,10,HERBE
13,11,ARBRE
13,12,HERBE
13,13,HERBE
13,14,ARBRE
13,15,HERBE
13,16,HERBE
13,17,ARBRE
13,18,HERBE
13,19,HERBE
13,20,HERBE
13,21,HERBE
13,22,HERBE
13,23,HERBE
13,24,HERBE
13,25,HERBE
13,26,MONTAGNE
13,27,HERBE
13,28,HERBE
13,29,HERBE
13,30,HERBE
13,31,HERBE
13,32,HERBE
13,33,HERBE
13,34,HERBE
13,35,HERBE
13,36,HERBE
13,37,HERBE
13,38,HERBE
13,39,HERBE
13,40,HERBE
13,41,HERBE
13,42,HERBE
13,43,HERBE
13,44,HERBE
13,45,HERBE
13,46,HERBE
13,47,HERBE
13,48,PLAGE
13,49,PLAGE
13,52,PLAGE
14,3,PLAGE
14,4,PLAGE
14,5,HERBE
14,6,HERBE
14,7,HERBE
14,8,HERBE
14,9,HERBE
14,10,ARBRE
14,11,HERBE
14,12,HERBE
14,13,ARBRE
14,14,HERBE
14,15,HERBE
14,16,ARBRE
14,17,HERBE
14,18,HERBE
14,19,HERBE
14,20,MONTAGNE
14,21,HERBE
14,22,HERBE
14,23,MONTAGNE
14,24,MONTAGNE
14,25,MONTAGNE
14,26,MONTAGNE
14,27,MONTAGNE
14,28,MONTAGNE
14,29,MONTAGNE
14,30,HERBE
14,31,HERBE
14,32,MONTAGNE
14,33,HERBE
14,34,HERBE
14,35,MONTAGNE
14,36,HERBE
14,37,HERBE
14,38,MONTAGNE
14,39,HERBE
14,40,HERBE
14,41,MONTAGNE
14,42,HERBE
14,43,HERBE
14,44,MONTAGNE
14,45,HERBE
14,46,HERBE
14,47,HERBE
14,48,HERBE
14,49,HERBE
14,50,PLAGE
14,51,PLAGE
14,52,HERBE
14,53,PLAGE
14,54,PLAGE
15,3,PLAGE
15,4,HERBE
15,5,HERBE
15,6,HERBE
15,7,HERBE
15,8,HERBE
15,9,HERBE
15,10,HERBE
15,11,HERBE
15,12,ARBRE
15,13,HERBE
15,14,HERBE
15,15,ARBRE
15,16,HERBE
15,17,HERBE
15,18,ARBRE
15,19,HERBE
15,20,HERBE
15,21,MONTAGNE
15,22,HERBE
15,23,MONTAGNE
15,24,MONTAGNE
15,25,MONTAGNE
15,26,MONTAGNE
15,27,MONTAGNE
15,28,MONTAGNE
15,29,MONTAGNE
15,30,MONTAGNE
15,31,HERBE
15,32,HERBE
15,33,MONTAGNE
15,34,HERBE
