ligne,colonne,type
11,25,HERBE
11,27,HERBE
11,28,HERBE
11,30,HERBE
11,37,HERBE
11,38,HERBE
11,39,HERBE
11,40,HERBE
11,41,HERBE
11,42,HERBE
12,23,HERBE
12,25,HERBE
12,26,HERBE
12,28,HERBE
12,29,HERBE
12,30,HERBE
12,33,HERBE
12,37,HERBE
12,39,HERBE
12,40,HERBE
12,41,HERBE
12,42,HERBE
12,43,HERBE
13,21,HERBE
13,22,HERBE
13,24,HERBE
13,25,HERBE
13,27,HERBE
13,29,TERRE
13,30,HERBE
13,31,HERBE
13,32,HERBE
13,34,HERBE
13,36,HERBE
13,37,HERBE
13,39,HERBE
13,41,HERBE
13,42,HERBE
13,43,HERBE
13,46,HERBE
14,20,HERBE
14,22,HERBE
14,23,HERBE
14,25,HERBE
14,26,HERBE
14,27,HERBE
14,30,HERBE
14,31,HERBE
14,32,HERBE
14,33,HERBE
14,36,HERBE
14,37,HERBE
14,38,HERBE
14,39,HERBE
14,42,HERBE
14,43,HERBE
14,45,HERBE
14,46,HERBE
15,21,HERBE
15,22,HERBE
15,24,HERBE
15,26,HERBE
15,27,HERBE
15,28,HERBE
15,29,HERBE
15,31,TERRE
15,32,HERBE
15,33,HERBE
15,34,HERBE
15,36,HERBE
15,38,HERBE
15,43,HERBE
15,45,HERBE
15,46,HERBE
16,20,HERBE
16,22,HERBE
16,23,HERBE
16,24,HERBE
16,27,HERBE
16,28,HERBE
16,29,HERBE
16,30,HERBE
16,33,HERBE
16,34,HERBE
16,35,HERBE
16,37,HERBE
16,38,HERBE
16,44,HERBE
17,21,HERBE
17,23,HERBE
17,24,HERBE
17,25,HERBE
17,26,HERBE
17,28,HERBE
17,29,HERBE
17,30,HERBE
17,31,HERBE
17,33,HERBE
17,35,HERBE
17,36,HERBE
17,38,HERBE
18,21,HERBE
18,24,HERBE
18,25,HERBE
18,26,HERBE
18,27,HERBE
18,30,HERBE
18,31,HERBE
18,32,HERBE
18,34,HERBE
18,35,HERBE
18,37,HERBE
18,39,HERBE
19,22,HERBE
19,23,HERBE
19,25,HERBE
19,26,HERBE
19,27,HERBE
19,28,HERBE
19,30,HERBE
19,32,HERBE
19,33,HERBE
19,35,HERBE
19,36,HERBE
19,37,HERBE
19,40,HERBE
19,43,HERBE
20,24,HERBE
20,27,HERBE
20,28,HERBE
