ligne,colonne,type
0,0,ARBRE
0,1,ARBRE
0,2,ARBRE
0,3,ARBRE
0,4,ARBRE
0,5,ARBRE
0,6,ARBRE
0,7,ARBRE
0,8,ARBRE
0,9,ARBRE
0,10,ARBRE
0,11,ARBRE
0,12,ARBRE
0,13,ARBRE
0,14,ARBRE
0,15,ARBRE
0,16,ARBRE
0,17,ARBRE
0,18,ARBRE
0,19,ARBRE
0,20,ARBRE
0,21,ARBRE
0,22,ARBRE
0,23,ARBRE
0,24,ARBRE
0,25,ARBRE
0,26,ARBRE
0,27,ARBRE
0,28,ARBRE
0,29,ARBRE
0,30,ARBRE
0,31,ARBRE
0,32,ARBRE
0,33,ARBRE
0,34,ARBRE
0,35,ARBRE
0,36,ARBRE
0,37,ARBRE
0,38,ARBRE
0,39,ARBRE
0,40,ARBRE
0,41,ARBRE
0,42,ARBRE
0,43,ARBRE
0,44,ARBRE
0,45,ARBRE
0,46,ARBRE
0,47,ARBRE
0,48,ARBRE
0,49,ARBRE
0,50,ARBRE
0,51,ARBRE
0,52,ARBRE
0,53,ARBRE
0,54,ARBRE
0,55,ARBRE
0,56,ARBRE
0,57,ARBRE
0,58,ARBRE
0,59,ARBRE
0,60,ARBRE
0,61,ARBRE
0,62,ARBRE
0,63,ARBRE
0,64,ARBRE
0,65,ARBRE
0,66,ARBRE
1,0,ARBRE
1,1,ARBRE
1,2,ARBRE
1,3,ARBRE
1,4,ARBRE
1,5,ARBRE
1,6,ARBRE
1,7,ARBRE
1,8,ARBRE
1,9,ARBRE
1,10,ARBRE
1,11,ARBRE
1,12,ARBRE
1,13,ARBRE
1,14,ARBRE
1,15,ARBRE
1,16,ARBRE
1,17,ARBRE
1,18,ARBRE
1,19,ARBRE
1,20,ARBRE
1,21,ARBRE
1,22,ARBRE
1,23,ARBRE
1,24,ARBRE
1,25,ARBRE
1,26,ARBRE
1,27,ARBRE
1,28,ARBRE
1,29,ARBRE
1,30,ARBRE
1,31,ARBRE
1,32,ARBRE
1,33,ARBRE
1,34,ARBRE
1,35,ARBRE
1,36,ARBRE
1,37,ARBRE
1,38,ARBRE
1,39,ARBRE
1,40,ARBRE
1,41,ARBRE
1,42,ARBRE
1,43,ARBRE
1,44,ARBRE
1,45,ARBRE
1,46,ARBRE
1,47,ARBRE
1,48,ARBRE
1,49,ARBRE
1,50,ARBRE
1,51,ARBRE
1,52,ARBRE
1,53,ARBRE
1,54,ARBRE
1,55,ARBRE
1,56,ARBRE
1,57,ARBRE
1,58,ARBRE
1,59,ARBRE
1,60,ARBRE
1,61,ARBRE
1,62,ARBRE
1,63,ARBRE
1,64,ARBRE
1,65,ARBRE
1,66,ARBRE
2,0,ARBRE
2,1,ARBRE
2,2,ARBRE
2,3,ARBRE
2,4,ARBRE
2,5,ARBRE
2,6,ARBRE
2,7,ARBRE
2,8,ARBRE
2,9,ARBRE
2,10,ARBRE
2,11,ARBRE
2,12,ARBRE
2,13,ARBRE
2,14,ARBRE
2,15,ARBRE
2,16,ARBRE
2,17,ARBRE
2,18,ARBRE
2,19,ARBRE
2,20,ARBRE
2,21,ARBRE
2,22,ARBRE
2,23,ARBRE
2,24,ARBRE
2,25,ARBRE
2,26,ARBRE
2,27,ARBRE
2,28,ARBRE
2,29,ARBRE
2,30,ARBRE
2,31,ARBRE
2,32,ARBRE
2,33,ARBRE
2,34,ARBRE
2,35,ARBRE
2,36,ARBRE
2,37,ARBRE
2,38,ARBRE
2,39,ARBRE
2,40,ARBRE
2,41,ARBRE
2,42,ARBRE
2,43,ARBRE
2,44,ARBRE
2,45,ARBRE
2,46,ARBRE
2,47,ARBRE
2,48,ARBRE
2,49,ARBRE
2,50,ARBRE
2,51,ARBRE
2,52,ARBRE
2,53,ARBRE
2,54,ARBRE
2,55,ARBRE
2,56,ARBRE
2,57,ARBRE
2,58,ARBRE
2,59,ARBRE
2,60,ARBRE
2,61,ARBRE
2,62,ARBRE
2,63,ARBRE
