ligne,colonne,type
6,11,PLAGE
6,12,PLAGE
6,13,PLAGE
6,14,PLAGE
6,15,PLAGE
6,58,PLAGE
6,59,PLAGE
6,60,PLAGE
6,61,PLAGE
6,62,PLAGE
6,63,PLAGE
6,64,PLAGE
6,65,PLAGE
6,66,PLAGE
7,10,PLAGE
7,11,HERBE
7,12,HERBE
7,13,HERBE
7,14,HERBE
7,15,HERBE
7,16,PLAGE
7,56,PLAGE
7,57,PLAGE
7,58,HERBE
7,59,HERBE
7,60,HERBE
7,61,HERBE
7,62,HERBE
7,63,HERBE
7,64,HERBE
7,65,HERBE
7,66,HERBE
8,9,PLAGE
8,10,ARBRE
8,11,HERBE
8,12,ARBRE
8,13,HERBE
8,14,ARBRE
8,15,HERBE
8,16,HERBE
8,17,PLAGE
8,54,PLAGE
8,55,PLAGE
8,56,HERBE
8,57,HERBE
8,58,HERBE
8,59,HERBE
8,60,HERBE
8,61,HERBE
8,62,HERBE
8,63,HERBE
8,64,HERBE
8,65,HERBE
8,66,HERBE
9,8,PLAGE
9,9,ARBRE
9,10,HERBE
9,11,ARBRE
9,12,HERBE
9,13,ARBRE
9,14,HERBE
9,15,HERBE
9,16,HERBE
9,17,HERBE
9,18,PLAGE
9,52,PLAGE
9,53,PLAGE
9,54,HERBE
9,55,HERBE
9,56,HERBE
9,57,HERBE
9,58,HERBE
9,59,HERBE
9,60,HERBE
9,61,HERBE
9,62,HERBE
9,63,HERBE
9,64,HERBE
9,65,HERBE
9,66,HERBE
10,8,PLAGE
10,9,HERBE
10,10,ARBRE
10,11,HERBE
10,12,ARBRE
10,13,HERBE
10,14,ARBRE
10,15,HERBE
10,16,HERBE
10,17,HERBE
10,18,HERBE
10,19,PLAGE
10,50,PLAGE
10,51,PLAGE
10,52,HERBE
10,53,HERBE
10,54,HERBE
10,55,HERBE
10,56,HERBE
10,57,HERBE
10,58,HERBE
10,59,HERBE
10,60,HERBE
10,61,HERBE
10,62,HERBE
10,63,HERBE
10,64,HERBE
10,65,HERBE
10,66,HERBE
11,7,PLAGE
11,8,HERBE
11,9,ARBRE
11,10,HERBE
11,11,ARBRE
11,12,HERBE
11,13,ARBRE
11,14,HERBE
11,15,HERBE
11,16,HERBE
11,17,HERBE
11,18,HERBE
11,19,HERBE
11,20,PLAGE
11,49,PLAGE
11,50,HERBE
11,51,HERBE
11,52,HERBE
11,53,HERBE
11,54,HERBE
11,55,HERBE
11,56,HERBE
11,57,HERBE
11,58,HERBE
11,59,HERBE
11,60,HERBE
11,61,HERBE
11,62,HERBE
11,63,HERBE
11,64,HERBE
11,65,HERBE
11,66,HERBE
12,6,PLAGE
12,7,HERBE
12,8,ARBRE
12,9,HERBE
12,10,ARBRE
12,11,HERBE
12,12,ARBRE
12,13,HERBE
12,14,ARBRE
12,15,HERBE
12,16,HERBE
12,17,HERBE
12,18,HERBE
12,19,HERBE
12,20,PLAGE
12,48,PLAGE
12,49,HERBE
12,50,HERBE
12,51,HERBE
12,52,HERBE
12,53,HERBE
12,54,HERBE
12,55,HERBE
12,56,HERBE
12,57,HERBE
12,58,HERBE
12,59,HERBE
12,60,HERBE
12,61,HERBE
12,62,HERBE
12,63,HERBE
12,64,HERBE
12,65,HERBE
12,66,HERBE
13,5,PLAGE
13,6,HERBE
13,7,ARBRE
13,8,HERBE
13,9,ARBRE
13,10,HERBE
13,11,ARBRE
13,12,HERBE
13,13,ARBRE
13,14,HERBE
13,15,HERBE
13,16,HERBE
13,17,HERBE
13,18,HERBE
13,19,HERBE
13,20,HERBE
13,21,PLAGE
13,47,PLAGE
13,48,HERBE
13,49,HERBE
13,50,HERBE
13,51,HERBE
13,52,HERBE
13,53,HERBE
13,54,HERBE
13,55,HERBE
13,56,HERBE
13,57,HERBE
13,58,HERBE
13,59,HERBE
13,60,HERBE
13,61,HERBE
13,62,HERBE
13,63,HERBE
13,64,HERBE
13,65,HERBE
13,66,HERBE
14,5,PLAGE
14,6,ARBRE
14,7,HERBE
14,8,ARBRE
14,9,HERBE
14,10,ARBRE
14,11,HERBE
14,12,ARBRE
14,13,HERBE
14,14,ARBRE
14,15,HERBE
14,16,HERBE
14,17,HERBE
14,18,HERBE
14,19,HERBE
14,20,HERBE
14,21,PLAGE
14,46,PLAGE
14,47,HERBE
14,48,HERBE
14,49,HERBE
14,50,HERBE
14,51,HERBE
14,52,HERBE
14,53,HERBE
14,54,HERBE
14,55,HERBE
14,56,HERBE
14,57,HERBE
14,58,HERBE
14,59,HERBE
14,60,HERBE
14,61,HERBE
14,62,HERBE
14,63,HERBE
14,64,HERBE
14,65,HERBE
14,66,HERBE
15,4,PLAGE
15,5,HERBE
15,6,HERBE
15,7,ARBRE
15,8,HERBE
15,9,ARBRE
15,10,HERBE
15,11,ARBRE
15,12,HERBE
15,13,ARBRE
15,14,HERBE
15,15,HERBE
15,16,HERBE
15,17,HERBE
15,18,HERBE
15,19,HERBE
15,20,HERBE
15,21,PLAGE
15,45,PLAGE
15,46,HERBE
15,47,HERBE
15,48,HERBE
15,49,HERBE
15,50,HERBE
15,51,HERBE
15,52,HERBE
15,53,HERBE
15,54,HERBE
15,55,HERBE
15,56,HERBE
15,57,HERBE
15,58,HERBE
15,59,HERBE
15,60,HERBE
15,61,HERBE
15,62,HERBE
15,63,HERBE
15,64,HERBE
15,65,HERBE
15,66,HERBE
16,4,PLAGE
16,5,HERBE
16,6,ARBRE
16,7,HERBE
16,8,ARBRE
16,9,HERBE
16,10,ARBRE
16,11,HERBE
16,12,ARBRE
16,13,HERBE
16,14,ARBRE
16,15,HERBE
16,16,HERBE
16,17,HERBE
16,18,HERBE
16,19,HERBE
16,20,HERBE
16,21,PLAGE
16,44,PLAGE
16,45,HERBE
16,46,HERBE
16,47,HERBE
16,48,HERBE
16,49,HERBE
16,50,HERBE
16,51,HERBE
16,52,HERBE
16,53,HERBE
16,54,HERBE
16,55,HERBE
16,56,HERBE
16,57,HERBE
16,58,HERBE
16,59,HERBE
16,60,HERBE
16,61,HERBE
16,62,HERBE
16,63,HERBE
16,64,HERBE
16,65,HERBE
16,66,HERBE
17,4,PLAGE
17,5,HERBE
17,6,HERBE
17,7,HERBE
17,8,HERBE
17,9,HERBE
17,10,HERBE
17,11,HERBE
17,12,HERBE
17,13,HERBE
17,14,HERBE
17,15,HERBE
17,16,HERBE
17,17,HERBE
17,18,HERBE
17,19,HERBE
17,20,HERBE
17,21,HERBE
17,22,PLAGE
17,23,PLAGE
17,24,PLAGE
17,25,PLAGE
17,26,PLAGE
17,27,PLAGE
17,28,PLAGE
17,29,PLAGE
17,30,PLAGE
17,31,PLAGE
17,32,PLAGE
17,33,PLAGE
17,34,PLAGE
17,35,PLAGE
17,36,PLAGE
17,37,PLAGE
17,38,PLAGE
17,39,PLAGE
17,40,PLAGE
17,41,PLAGE
17,42,PLAGE
17,43,PLAGE
17,44,HERBE
17,45,HERBE
17,46,HERBE
17,47,HERBE
17,48,HERBE
17,49,HERBE
17,50,HERBE
17,51,HERBE
17,52,HERBE
17,53,HERBE
17,54,HERBE
17,55,HERBE
17,56,HERBE
17,57,HERBE
17,58,HERBE
17,59,HERBE
17,60,HERBE
17,61,HERBE
17,62,HERBE
17,63,HERBE
17,64,HERBE
17,65,HERBE
17,66,HERBE
18,3,PLAGE
18,4,HERBE
18,5,HERBE
18,6,HERBE
18,7,HERBE
18,8,HERBE
18,9,HERBE
18,10,HERBE
18,11,HERBE
18,12,HERBE
18,13,HERBE
18,14,HERBE
18,15,HERBE
18,16,HERBE
18,17,HERBE
18,18,HERBE
18,19,HERBE
18,20,HERBE
18,21,HERBE
18,22,HERBE
18,23,HERBE
18,24,HERBE
18,25,HERBE
18,26,HERBE
18,27,HERBE
18,28,HERBE
18,29,HERBE
18,30,HERBE
18,31,HERBE
18,32,HERBE
18,33,HERBE
18,34,HERBE
18,35,HERBE
18,36,HERBE
18,37,HERBE
18,38,HERBE
18,39,HERBE
18,40,HERBE
18,41,HERBE
18,42,HERBE
18,43,HERBE
18,44,HERBE
18,45,HERBE
18,46,HERBE
18,47,HERBE
18,48,ARBRE
18,49,HERBE
18,50,HERBE
18,51,ARBRE
18,52,HERBE
18,53,HERBE
18,54,ARBRE
18,55,HERBE
18,56,HERBE
18,57,ARBRE
18,58,HERBE
18,59,HERBE
18,60,ARBRE
18,61,HERBE
18,62,HERBE
18,63,HERBE
18,64,HERBE
18,65,HERBE
18,66,HERBE
19,3,PLAGE
19,4,HERBE
19,5,HERBE
19,6,HERBE
19,7,HERBE
19,8,HERBE
19,9,HERBE
19,10,HERBE
19,11,HERBE
19,12,HERBE
19,13,HERBE
19,14,HERBE
19,15,HERBE
19,16,HERBE
19,17,HERBE
19,18,HERBE
19,19,HERBE
19,20,HERBE
19,21,HERBE
19,22,HERBE
19,23,HERBE
19,24,HERBE
19,25,HERBE
19,26,HERBE
19,27,HERBE
19,28,HERBE
19,29,HERBE
19,30,HERBE
19,31,HERBE
19,32,HERBE
19,33,HERBE
19,34,HERBE
19,35,HERBE
19,36,HERBE
19,37,HERBE
19,38,HERBE
19,39,HERBE
19,40,HERBE
19,41,HERBE
19,42,HERBE
19,43,HERBE
19,44,HERBE
19,45,HERBE
19,46,HERBE
19,47,HERBE
19,48,HERBE
19,49,HERBE
19,50,ARBRE
19,51,HERBE
19,52,HERBE
19,53,ARBRE
19,54,HERBE
19,55,HERBE
19,56,ARBRE
19,57,HERBE
19,58,HERBE
19,59,ARBRE
19,60,HERBE
19,61,HERBE
19,62,ARBRE
19,63,HERBE
19,64,HERBE
19,65,HERBE
19,66,HERBE
20,3,PLAGE
20,4,HERBE
20,5,HERBE
20,6,HERBE
20,7,ARBRE
20,8,HERBE
20,9,HERBE
20,10,ARBRE
20,11,HERBE
20,12,HERBE
20,13,ARBRE
20,14,HERBE
20,15,HERBE
20,16,ARBRE
20,17,HERBE
20,18,HERBE
20,19,HERBE
20,20,HERBE
20,21,HERBE
20,22,HERBE
20,23,HERBE
20,24,HERBE
20,25,HERBE
20,26,HERBE
20,27,HERBE
20,28,HERBE
20,29,HERBE
20,30,HERBE
20,31,HERBE
20,32,HERBE
20,33,HERBE
20,34,HERBE
20,35,HERBE
20,36,HERBE
20,37,HERBE
20,38,HERBE
20,39,HERBE
20,40,HERBE
20,41,HERBE
20,42,HERBE
20,43,HERBE
20,44,HERBE
20,45,HERBE
20,46,HERBE
20,47,HERBE
20,48,HERBE
20,49,ARBRE
20,50,HERBE
20,51,HERBE
20,52,ARBRE
20,53,HERBE
20,54,HERBE
20,55,ARBRE
20,56,HERBE
20,57,HERBE
20,58,ARBRE
20,59,HERBE
20,60,HERBE
20,61,ARBRE
20,62,HERBE
20,63,HERBE
20,64,HERBE
20,65,HERBE
20,66,HERBE
21,3,PLAGE
21,4,HERBE
21,5,HERBE
21,6,ARBRE
21,7,HERBE
21,8,HERBE
21,9,ARBRE
21,10,HERBE
21,11,HERBE
21,12,ARBRE
21,13,HERBE
21,14,HERBE
21,15,ARBRE
21,16,HERBE
21,17,HERBE
21,18,ARBRE
21,19,HERBE
21,20,HERBE
21,21,HERBE
21,22,HERBE
21,23,HERBE
21,24,HERBE
21,25,HERBE
21,26,HERBE
21,27,HERBE
21,28,HERBE
21,29,HERBE
21,30,HERBE
21,31,HERBE
21,32,HERBE
21,33,HERBE
21,34,HERBE
21,35,HERBE
21,36,HERBE
21,37,HERBE
21,38,HERBE
21,39,HERBE
21,40,HERBE
21,41,HERBE
21,42,HERBE
21,43,HERBE
21,44,HERBE
21,45,HERBE
21,46,HERBE
21,47,HERBE
21,48,ARBRE
21,49,HERBE
21,50,HERBE
21,51,ARBRE
21,52,HERBE
21,53,HERBE
21,54,ARBRE
21,55,HERBE
21,56,HERBE
21,57,ARBRE
21,58,HERBE
21,59,HERBE
21,60,ARBRE
21,61,HERBE
21,62,HERBE
21,63,HERBE
21,64,HERBE
21,65,HERBE
21,66,HERBE
22,3,PLAGE
22,4,HERBE
22,5,ARBRE
22,6,HERBE
22,7,HERBE
22,8,ARBRE
22,9,HERBE
22,10,HERBE
22,11,ARBRE
22,12,HERBE
22,13,HERBE
22,14,ARBRE
22,15,HERBE
22,16,HERBE
22,17,ARBRE
22,18,HERBE
22,19,HERBE
22,20,ARBRE
22,21,HERBE
22,22,HERBE
22,23,ARBRE
22,24,HERBE
22,25,HERBE
22,26,ARBRE
22,27,HERBE
22,28,HERBE
22,29,ARBRE
22,30,HERBE
22,31,HERBE
22,32,ARBRE
22,33,HERBE
22,34,HERBE
22,35,ARBRE
22,36,HERBE
22,37,HERBE
22,38,ARBRE
22,39,HERBE
22,40,HERBE
22,41,HERBE
22,42,HERBE
22,43,HERBE
22,44,HERBE
22,45,HERBE
22,46,HERBE
22,47,HERBE
22,48,HERBE
22,49,HERBE
22,50,ARBRE
22,51,HERBE
22,52,HERBE
22,53,ARBRE
22,54,HERBE
22,55,HERBE
22,56,ARBRE
22,57,HERBE
22,58,HERBE
22,59,ARBRE
22,60,HERBE
22,61,HERBE
22,62,ARBRE
22,63,HERBE
22,64,HERBE
22,65,HERBE
22,66,HERBE
23,3,PLAGE
23,4,HERBE
23,5,HERBE
23,6,HERBE
23,7,ARBRE
23,8,HERBE
23,9,HERBE
23,10,ARBRE
23,11,HERBE
23,12,HERBE
23,13,ARBRE
23,14,HERBE
23,15,HERBE
23,16,ARBRE
23,17,HERBE
23,18,HERBE
23,19,HERBE
23,20,HERBE
23,21,HERBE
23,22,ARBRE
23,23,HERBE
23,24,HERBE
23,25,ARBRE
23,26,HERBE
23,27,HERBE
23,28,ARBRE
23,29,HERBE
23,30,HERBE
23,31,ARBRE
23,32,HERBE
23,33,HERBE
23,34,ARBRE
23,35,HERBE
23,36,HERBE
23,37,ARBRE
23,38,HERBE
23,39,HERBE
23,40,HERBE
23,41,HERBE
23,42,HERBE
