ligne,colonne,type
0,3,ARBRE
0,4,ARBRE
0,5,ARBRE
0,6,ARBRE
0,7,ARBRE
0,8,ARBRE
0,9,ARBRE
0,10,ARBRE
0,11,ARBRE
0,12,ARBRE
0,13,ARBRE
0,14,ARBRE
0,15,ARBRE
0,16,ARBRE
0,17,ARBRE
0,18,ARBRE
0,19,ARBRE
0,20,ARBRE
0,21,ARBRE
0,22,ARBRE
0,23,ARBRE
0,24,ARBRE
0,25,ARBRE
0,26,ARBRE
0,27,ARBRE
0,28,ARBRE
0,29,ARBRE
0,30,ARBRE
0,31,ARBRE
0,32,ARBRE
0,33,ARBRE
0,34,ARBRE
0,35,ARBRE
0,36,ARBRE
0,37,ARBRE
0,38,ARBRE
0,39,ARBRE
0,40,ARBRE
0,41,ARBRE
0,42,ARBRE
0,43,ARBRE
0,44,ARBRE
0,45,ARBRE
0,46,ARBRE
0,47,ARBRE
0,48,ARBRE
0,49,ARBRE
0,50,ARBRE
0,51,ARBRE
0,52,ARBRE
0,53,ARBRE
0,54,ARBRE
0,55,ARBRE
0,56,ARBRE
0,57,ARBRE
0,58,ARBRE
1,3,ARBRE
1,4,ARBRE
1,5,ARBRE
1,6,ARBRE
1,7,ARBRE
1,8,ARBRE
1,9,ARBRE
1,10,ARBRE
1,11,ARBRE
1,12,ARBRE
1,13,ARBRE
1,14,ARBRE
1,15,ARBRE
1,16,ARBRE
1,17,ARBRE
1,18,ARBRE
1,19,ARBRE
1,20,ARBRE
1,21,ARBRE
1,22,ARBRE
1,23,ARBRE
1,24,ARBRE
1,25,ARBRE
1,26,ARBRE
1,27,ARBRE
1,28,ARBRE
1,29,ARBRE
1,30,ARBRE
1,31,ARBRE
1,32,ARBRE
1,33,ARBRE
1,34,ARBRE
1,35,ARBRE
1,36,ARBRE
1,37,ARBRE
1,38,ARBRE
1,39,ARBRE
1,40,ARBRE
1,41,ARBRE
1,42,ARBRE
1,43,ARBRE
1,44,ARBRE
1,45,ARBRE
1,46,ARBRE
1,47,ARBRE
1,48,ARBRE
