ligne,colonne,type
0,0,TERRE
0,39,TERRE
0,53,TERRE
0,54,TERRE
0,55,TERRE
0,56,TERRE
0,59,TERRE
0,60,TERRE
0,61,TERRE
0,63,TERRE
0,64,TERRE
0,66,TERRE
0,75,TERRE
0,77,TERRE
0,93,TERRE
0,107,TERRE
0,111,TERRE
0,112,TERRE
0,113,TERRE
0,114,TERRE
0,115,TERRE
0,116,TERRE
0,117,TERRE
0,118,TERRE
0,119,TERRE
0,120,TERRE
0,121,TERRE
0,122,TERRE
0,123,TERRE
0,124,TERRE
0,125,TERRE
0,126,TERRE
0,127,TERRE
0,128,TERRE
0,129,TERRE
0,130,TERRE
0,131,TERRE
0,132,TERRE
0,133,TERRE
0,134,TERRE
1,0,TERRE
1,4,TERRE
1,5,TERRE
1,6,TERRE
1,111,TERRE
1,112,TERRE
1,113,TERRE
1,114,TERRE
1,115,TERRE
1,116,TERRE
1,117,TERRE
1,118,TERRE
1,119,TERRE
1,120,TERRE
1,121,TERRE
1,122,TERRE
1,123,TERRE
1,124,TERRE
1,125,TERRE
1,126,TERRE
1,127,TERRE
1,128,TERRE
1,129,TERRE
1,130,TERRE
1,131,TERRE
1,132,TERRE
1,133,TERRE
1,134,TERRE
2,0,TERRE
2,2,TERRE
2,3,TERRE
2,4,TERRE
2,5,TERRE
2,6,TERRE
2,7,TERRE
2,12,TERRE
2,13,TERRE
2,17,TERRE
2,22,TERRE
2,23,TERRE
2,24,TERRE
2,25,TERRE
2,108,TERRE
2,109,TERRE
2,110,TERRE
2,111,TERRE
2,112,TERRE
2,113,TERRE
2,114,TERRE
2,115,TERRE
2,116,TERRE
2,117,TERRE
2,118,TERRE
2,119,TERRE
2,120,TERRE
2,121,TERRE
2,122,TERRE
2,123,TERRE
2,124,TERRE
2,125,TERRE
2,126,TERRE
2,127,TERRE
2,128,TERRE
2,129,TERRE
2,130,TERRE
2,131,TERRE
2,132,TERRE
2,133,TERRE
2,134,TERRE
3,0,TERRE
3,1,TERRE
3,2,TERRE
3,3,TERRE
3,4,TERRE
3,5,TERRE
3,6,TERRE
3,7,TERRE
3,11,TERRE
3,12,TERRE
3,13,TERRE
3,14,TERRE
3,15,TERRE
3,16,TERRE
3,17,TERRE
3,18,TERRE
3,19,TERRE
3,20,TERRE
3,21,TERRE
3,22,TERRE
3,23,TERRE
3,24,TERRE
3,25,TERRE
3,26,TERRE
3,105,TERRE
3,106,TERRE
3,107,TERRE
3,108,TERRE
3,109,TERRE
3,110,TERRE
3,111,TERRE
3,112,TERRE
3,113,TERRE
3,114,TERRE
3,115,TERRE
3,116,TERRE
3,117,TERRE
3,118,TERRE
3,119,TERRE
3,120,TERRE
3,121,TERRE
3,122,TERRE
3,123,TERRE
3,124,TERRE
3,125,TERRE
3,126,TERRE
3,127,TERRE
3,128,TERRE
3,129,TERRE
3,130,TERRE
3,131,TERRE
3,132,TERRE
3,133,TERRE
3,134,TERRE
4,0,TERRE
4,1,TERRE
4,2,TERRE
4,3,TERRE
4,4,TERRE
4,5,TERRE
4,6,TERRE
4,7,TERRE
4,8,TERRE
4,9,TERRE
4,10,TERRE
4,11,TERRE
4,12,TERRE
4,13,TERRE
4,14,TERRE
4,15,TERRE
4,16,TERRE
4,17,TERRE
4,18,TERRE
4,19,TERRE
4,20,TERRE
4,21,TERRE
4,22,TERRE
4,23,TERRE
4,24,TERRE
4,25,TERRE
4,26,TERRE
4,27,TERRE
4,28,TERRE
4,29,TERRE
4,107,TERRE
4,108,TERRE
4,109,TERRE
4,110,TERRE
4,111,TERRE
4,112,TERRE
4,113,TERRE
4,114,TERRE
4,115,TERRE
4,116,TERRE
4,117,TERRE
4,118,TERRE
4,119,TERRE
4,120,TERRE
4,121,TERRE
4,122,TERRE
4,123,TERRE
4,124,TERRE
4,125,TERRE
4,126,TERRE
4,127,TERRE
4,128,TERRE
4,129,TERRE
4,130,TERRE
4,131,TERRE
4,132,TERRE
4,133,TERRE
4,134,TERRE
5,0,TERRE
5,4,TERRE
5,5,TERRE
5,6,TERRE
5,7,TERRE
5,8,TERRE
5,9,TERRE
5,10,TERRE
5,11,TERRE
5,12,TERRE
5,13,TERRE
5,14,TERRE
5,15,TERRE
5,16,TERRE
5,17,TERRE
5,18,TERRE
5,19,TERRE
5,20,TERRE
5,21,TERRE
5,22,TERRE
