ligne,colonne,type
5,12,TERRE
5,13,TERRE
5,14,TERRE
5,15,TERRE
5,16,TERRE
5,17,TERRE
5,18,TERRE
5,19,TERRE
5,20,TERRE
6,12,TERRE
6,13,TERRE
6,14,TERRE
6,15,TERRE
6,16,TERRE
6,17,TERRE
6,18,TERRE
6,19,TERRE
6,20,TERRE
6,23,TERRE
6,24,TERRE
6,25,TERRE
6,26,TERRE
6,27,TERRE
6,28,TERRE
7,12,TERRE
7,13,TERRE
7,14,TERRE
7,15,TERRE
7,16,TERRE
7,17,TERRE
7,18,TERRE
7,19,TERRE
7,20,TERRE
7,23,TERRE
7,24,TERRE
7,25,TERRE
7,26,TERRE
7,27,TERRE
7,28,TERRE
7,29,TERRE
7,30,TERRE
7,31,TERRE
7,32,TERRE
7,33,TERRE
8,10,TERRE
8,11,TERRE
8,12,TERRE
8,13,TERRE
8,14,TERRE
8,15,TERRE
8,16,TERRE
8,17,TERRE
8,18,TERRE
8,19,TERRE
8,20,TERRE
8,21,TERRE
8,22,TERRE
8,23,TERRE
8,24,TERRE
8,25,TERRE
8,26,TERRE
8,27,TERRE
8,28,TERRE
8,29,TERRE
8,30,TERRE
8,31,TERRE
8,32,TERRE
8,33,TERRE
8,34,TERRE
9,10,TERRE
9,11,TERRE
9,12,TERRE
9,13,TERRE
9,14,TERRE
9,15,TERRE
9,16,TERRE
9,17,TERRE
9,18,TERRE
9,19,TERRE
9,20,TERRE
9,21,TERRE
9,22,TERRE
9,23,TERRE
9,24,TERRE
9,25,TERRE
9,26,TERRE
9,27,TERRE
9,28,TERRE
9,29,TERRE
9,30,TERRE
9,31,TERRE
9,32,TERRE
9,33,TERRE
9,34,TERRE
10,10,TERRE
10,11,TERRE
10,12,TERRE
10,13,TERRE
10,14,TERRE
10,15,TERRE
10,16,TERRE
10,17,TERRE
10,18,TERRE
10,19,TERRE
10,20,TERRE
10,21,TERRE
10,22,TERRE
10,29,TERRE
10,30,TERRE
10,31,TERRE
10,32,TERRE
10,33,TERRE
11,12,TERRE
11,13,TERRE
11,14,TERRE
11,15,TERRE
11,16,TERRE
11,17,TERRE
11,18,TERRE
11,19,TERRE
11,20,TERRE
11,21,TERRE
11,22,TERRE
12,12,TERRE
12,13,TERRE
12,14,TERRE
12,15,TERRE
12,16,TERRE
12,17,TERRE
12,18,TERRE
12,19,TERRE
12,20,TERRE
12,21,TERRE
12,22,TERRE
13,14,TERRE
13,15,TERRE
13,16,TERRE
13,17,TERRE
13,18,TERRE
13,19,TERRE
13,20,TERRE
13,21,TERRE
13,22,TERRE
13,23,TERRE
13,24,TERRE
13,25,TERRE
13,26,TERRE
13,27,TERRE
13,28,TERRE
13,29,TERRE
13,30,TERRE
13,31,TERRE
13,32,TERRE
13,33,TERRE
13,34,TERRE
13,35,TERRE
13,36,TERRE
13,37,TERRE
13,38,TERRE
14,14,TERRE
14,15,TERRE
14,16,TERRE
14,17,TERRE
14,18,TERRE
14,19,TERRE
14,20,TERRE
14,21,TERRE
14,22,TERRE
14,23,TERRE
14,24,TERRE
